model_id,mode,n,pearson_r,mae,rmse,coarse_acc,parse_fail_rate,total_tokens,mean_cost_per_sentence_usd,cost_ratio_vs_human,pricing_source,modes_available
gpt-5.6-luna,T,50,0.7850968602212802,0.5739839999999999,0.7493797403186184,0.98,0.0,788178,0.02686536,0.00835365671641791,openrouter_openai_gpt-5.6-luna_2026-07-26,"ORIG,T"
gpt-5.6-luna,ORIG,50,0.7776668912632118,0.6199119999999999,0.7856968850644629,0.98,0.0,697160,0.0159432,0.004957462686567164,openrouter_openai_gpt-5.6-luna_2026-07-26,"ORIG,T"
gpt-5.6-sol,ORIG,50,0.7331366186783372,0.637764,0.854941398693501,0.98,0.0,348578,0.0398568,0.012393283582089552,openrouter_openai_gpt-5.6-sol_2026-07-26,"ORIG,T"
gpt-5.6-sol,T,50,0.7061714127966138,0.6757639999999999,0.903664979513979,0.98,0.0,379474,0.0583944,0.018157462686567163,openrouter_openai_gpt-5.6-sol_2026-07-26,"ORIG,T"
moonshotai/kimi-k3,T,50,0.6954308413670434,0.6497791111111111,0.832922005235147,0.96,0.0,456934,0.053041080000000004,0.01649287313432836,openrouter_kimi-k3_2026-07-26,"ORIG,T"
moonshotai/kimi-k3,ORIG,50,0.6918198235713622,0.6679600000000001,0.9270080879906065,0.94,0.0,182535,0.012152099999999999,0.003778638059701492,openrouter_kimi-k3_2026-07-26,"ORIG,T"
google/gemini-3.6-flash,T,50,0.6809701479030159,0.816644,1.059275221649218,0.98,0.0,781311,0.07494849,0.023304878731343286,openrouter_gemini-3.6-flash_2026-07-26,T
z-ai/glm-5.2,T,50,0.6677649295195878,0.9250589010989012,1.1779581757152484,0.86,0.030666666666666665,1385865,0.04375039356,0.013603978097014925,openrouter_glm-5.2_2026-07-26,"ORIG,T"
google/gemma-4-31b-it,T,50,0.6421068219555699,0.8146439999999999,1.0717616317073495,0.96,0.001,1593779,0.00896393,0.0027872916666666667,openrouter_gemma-4-31b-it_2026-07-26,"ORIG,S,ST,T"
google/gemma-3-12b-it,ORIG,50,0.6402469432971583,1.186496,1.4563204301251838,0.88,0.0,732140,0.00077214,0.00024009328358208954,openrouter_gemma-3-12b-it_2026-07-26,"ORIG,S"
z-ai/glm-5.2,ORIG,50,0.6281695742666508,0.865644,1.0943187813429869,0.96,0.0,172545,0.00245274228,0.000762668619402985,openrouter_glm-5.2_2026-07-26,"ORIG,T"
google/gemma-4-31b-it,S,50,0.6192492954063844,0.906644,1.1584316963895627,0.96,0.0,785547,0.0024657456000000003,0.0007667119402985075,openrouter_gemma-4-31b-it_2026-07-26,"ORIG,S,ST,T"
deepseek/deepseek-v4-flash,T,50,0.5943783794234444,0.7694840000000001,1.045238391564336,0.96,0.0,2369004,0.0095023264,0.0029547034825870644,openrouter_deepseek-v4-flash_2026-07-26,"ORIG,S,ST,T"
google/gemma-3-12b-it,S,50,0.5843125579621864,1.120716,1.348385922204767,0.86,0.0,774628,0.0008996039999999999,0.00027972761194029847,openrouter_gemma-3-12b-it_2026-07-26,"ORIG,S"
google/gemma-4-31b-it,ST,50,0.5545223534626001,0.949888,1.2004109276410309,0.96,0.0,1593100,0.009005272,0.002800146766169154,openrouter_gemma-4-31b-it_2026-07-26,"ORIG,S,ST,T"
deepseek/deepseek-v4-flash,ORIG,50,0.5488178211758419,0.6999360000000001,0.9543987611056504,1.0,0.0,692160,0.001994048,0.0006200398009950248,openrouter_deepseek-v4-flash_2026-07-26,"ORIG,S,ST,T"
openai/gpt-4.1-mini,ORIG,50,0.5251472150749914,0.871692,1.1518554575987388,0.92,0.0,719139,0.006736608000000001,0.002094716417910448,openrouter_openai_gpt-4.1-mini_2026-07-26,ORIG
deepseek/deepseek-v4-flash,ST,50,0.4928971984601457,0.9440172631578947,1.2204594440126957,0.98,0.001,1251732,0.004405251200000001,0.001369792039800995,openrouter_deepseek-v4-flash_2026-07-26,"ORIG,S,ST,T"
google/gemma-4-31b-it,ORIG,50,0.4880091640967146,0.930984,1.2161735053848197,0.98,0.0,741140,0.0021791920000000004,0.0006776094527363185,openrouter_gemma-4-31b-it_2026-07-26,"ORIG,S,ST,T"
deepseek/deepseek-v4-flash,S,50,0.41340902653619266,0.7968639999999999,1.0325680583864678,0.98,0.0,951048,0.0027214208000000003,0.0008462129353233831,openrouter_deepseek-v4-flash_2026-07-26,"ORIG,S,ST,T"
