model_id,contrast,delta_pearson,delta_mae,S_pearson,ORIG_pearson,S_mae,ORIG_mae,S_parse_fail,ORIG_parse_fail,ST_pearson,T_pearson,ST_mae,T_mae,ST_parse_fail,T_parse_fail
deepseek/deepseek-v4-flash,S-ORIG,-0.13540879463964922,0.09692799999999979,0.41340902653619266,0.5488178211758419,0.7968639999999999,0.6999360000000001,0.0,0.0,,,,,,
deepseek/deepseek-v4-flash,ST-T,-0.10148118096329872,0.17453326315789464,,,,,,,0.4928971984601457,0.5943783794234444,0.9440172631578947,0.7694840000000001,0.001,0.0
deepseek/deepseek-v4-flash,ST-ORIG,-0.0559206227156962,0.24408126315789458,,0.5488178211758419,,0.6999360000000001,,0.0,0.4928971984601457,,0.9440172631578947,,0.001,
deepseek/deepseek-v4-flash,T-ORIG,0.04556055824760252,0.06954799999999994,,0.5488178211758419,,0.6999360000000001,,0.0,,0.5943783794234444,,0.7694840000000001,,0.0
google/gemma-3-12b-it,S-ORIG,-0.05593438533497186,-0.06577999999999995,0.5843125579621864,0.6402469432971583,1.120716,1.186496,0.0,0.0,,,,,,
google/gemma-4-31b-it,S-ORIG,0.13124013130966983,-0.02434000000000003,0.6192492954063844,0.4880091640967146,0.906644,0.930984,0.0,0.0,,,,,,
google/gemma-4-31b-it,ST-T,-0.08758446849296975,0.13524400000000003,,,,,,,0.5545223534626001,0.6421068219555699,0.949888,0.8146439999999999,0.0,0.001
google/gemma-4-31b-it,ST-ORIG,0.06651318936588557,0.01890399999999992,,0.4880091640967146,,0.930984,,0.0,0.5545223534626001,,0.949888,,0.0,
google/gemma-4-31b-it,T-ORIG,0.15409765785885532,-0.11634000000000011,,0.4880091640967146,,0.930984,,0.0,,0.6421068219555699,,0.8146439999999999,,0.001
gpt-5.6-luna,T-ORIG,0.007429968958068467,-0.04592799999999997,,0.7776668912632118,,0.6199119999999999,,0.0,,0.7850968602212802,,0.5739839999999999,,0.0
gpt-5.6-sol,T-ORIG,-0.026965205881723464,0.03799999999999992,,0.7331366186783372,,0.637764,,0.0,,0.7061714127966138,,0.6757639999999999,,0.0
moonshotai/kimi-k3,T-ORIG,0.0036110177956811818,-0.018180888888889024,,0.6918198235713622,,0.6679600000000001,,0.0,,0.6954308413670434,,0.6497791111111111,,0.0
z-ai/glm-5.2,T-ORIG,0.039595355252937,0.05941490109890124,,0.6281695742666508,,0.865644,,0.0,,0.6677649295195878,,0.9250589010989012,,0.030666666666666665
