sample_id,sentence,human_mean,ensemble_mean,abs_err,n_annotators,model_vote_std
s10_all,The seller recommended the model.,5.875,6.604365079365079,0.7293650793650794,7,0.297199969497792
s10_animate,The seller recommended the dress.,6.275,6.838095238095238,0.5630952380952374,7,0.3075762907039074
s10_global,The seller recommended the designer.,5.9024,5.0321428571428575,0.8702571428571426,7,0.9644422271571323
s10_name,The seller recommended Pierre.,4.75,4.146371882086168,0.6036281179138321,7,0.7064420688530878
s10_plural,The seller recommended the designers.,5.6,4.761678004535148,0.8383219954648515,7,0.4290411677813139
s1_all,The nurse fetched the patient.,6.2683,5.825,0.4432999999999998,7,0.5440971114301809
s1_animate,The nurse fetched the file.,6.225,5.853174603174603,0.37182539682539684,7,0.47872276424755295
s1_global,The nurse fetched the intern.,5.1,5.08968253968254,0.010317460317459393,7,0.5476702299523083
s1_name,The nurse fetched Matt.,4.9,5.306292517006803,0.40629251700680236,7,0.562395834936454
s1_plural,The nurse fetched the interns.,5.45,4.940873015873016,0.5091269841269845,7,0.5738755203655054
s2_all,The waiter watched the critic.,5.125,5.564229024943311,0.4392290249433106,7,0.6397507426096652
s2_animate,The waiter watched the cake.,3.675,3.295294784580499,0.37970521541950086,7,0.4571191129431338
s2_global,The waiter watched the chef.,5.95,5.765079365079365,0.18492063492063515,7,0.6739777679909269
s2_name,The waiter watched Louis.,5.6585,5.230272108843537,0.428227891156463,7,0.7106796730367617
s2_plural,The waiter watched the chefs.,5.725,5.898809523809524,0.17380952380952408,7,0.15682236437528277
s3_all,The art dealer brought the buyer.,3.325,5.4908730158730155,2.1658730158730153,7,0.6173392942562496
s3_animate,The art dealer brought the portrait.,5.6,6.832936507936508,1.2329365079365084,7,0.22713566092890053
s3_global,The art dealer brought the artist.,3.3,5.552380952380952,2.2523809523809524,7,0.7556839293369954
s3_name,The art dealer brought Ethan.,3.35,4.357936507936508,1.0079365079365084,7,0.6933388023797324
s3_plural,The art dealer brought the artists.,3.8537,5.512301587301587,1.658601587301587,7,0.7593414428356722
s4_all,The dean observed the scientist.,4.125,5.133106575963718,1.0081065759637182,7,0.7756890366799407
s4_animate,The dean observed the result.,5.2195,5.478632478632479,0.2591324786324787,7,0.7545905002029689
s4_global,The dean observed the student.,5.95,5.484920634920635,0.4650793650793652,7,0.9463962092234158
s4_name,The dean observed Tony.,5.375,5.315646258503401,0.059353741496599,7,0.613963950956554
s4_plural,The dean observed the students.,6.375,6.152380952380952,0.22261904761904816,7,0.5050145369587717
s5_all,The owner payed for the worker.,4.175,4.394047619047619,0.21904761904761916,7,0.4792624127943483
s5_animate,The owner payed for the tractor.,4.65,6.337698412698413,1.6876984126984125,7,0.6317553790087785
s5_global,The owner payed for the farmer.,2.7561,3.417857142857143,0.6617571428571432,7,0.5587773643027629
s5_name,The owner payed for Joe.,3.65,4.7067460317460315,1.0567460317460315,7,0.6519870252763836
s5_plural,The owner payed for the farmers.,3.35,3.7579365079365084,0.40793650793650826,7,0.529916302332693
s6_all,The judge needed the witness.,5.8049,6.367460317460318,0.562560317460318,7,0.7806720525390419
s6_animate,The judge needed the camera.,3.825,3.5559523809523808,0.2690476190476194,7,0.4621987078115273
s6_global,The judge needed the lawyer.,5.1,5.7630952380952385,0.6630952380952388,7,0.895020395262872
s6_name,The judge needed Joel.,3.475,4.897448979591837,1.4224489795918367,7,0.7442543930370231
s6_plural,The judge needed the lawyers.,6.125,6.501587301587302,0.3765873015873016,7,0.4389792954906742
s7_all,The audience liked the actor.,6.625,6.980555555555555,0.3555555555555552,7,0.04148106811963341
s7_animate,The audience liked the newspaper.,4.55,3.1794217687074826,1.3705782312925172,7,0.8544282173215206
s7_global,The audience liked the reviewer.,4.075,4.791269841269842,0.7162698412698418,7,0.9942626418900596
s7_name,The audience liked Tom.,6.3171,6.749603174603174,0.4325031746031742,7,0.286988176418263
s7_plural,The audience liked the reviewers.,3.95,4.29421768707483,0.34421768707482947,7,0.756398577407516
s8_all,The neighbour heard the child.,6.55,6.609523809523809,0.05952380952380931,7,0.46126407866270086
s8_animate,The neighbour heard the alarm.,6.65,6.910714285714286,0.26071428571428523,7,0.236227795630767
s8_global,The neighbour heard the parent.,5.575,5.16388888888889,0.41111111111111054,7,0.32390604109338583
s8_name,The neighbour heard Anna.,6.075,5.91984126984127,0.15515873015873005,7,0.9192268240998088
s8_plural,The neighbour heard the parents.,5.2927,5.753174603174604,0.4604746031746041,7,0.2633641399165868
s9_all,The guide observed the visitor.,6.025,5.9071428571428575,0.11785714285714288,7,0.469816467599331
s9_animate,The guide observed the painting.,5.561,6.212912087912088,0.6519120879120877,7,0.3907755310126364
s9_global,The guide observed the sculptor.,4.95,4.8730158730158735,0.07698412698412671,7,0.7248274136244065
s9_name,The guide ovserved Claude.,5.125,5.043040293040293,0.08195970695970711,7,0.8251374934879492
s9_plural,The guide observed the sculptors.,4.525,5.1463151927437645,0.6213151927437641,7,0.6598479199299201
