model_id,mode,condition,n,pearson_r,mae
gpt-5.6-luna,T,all,10,0.7946983820439179,0.5138399999999999
gpt-5.6-luna,T,global,10,0.722166789559366,0.6096299999999999
gpt-5.6-luna,T,animate,10,0.874508488661137,0.6469499999999998
gpt-5.6-luna,T,plural,10,0.730156103807411,0.5603600000000001
gpt-5.6-luna,T,name,10,0.8177062579482766,0.53914
gpt-5.6-luna,ORIG,all,10,0.8595515680312861,0.6888399999999999
gpt-5.6-luna,ORIG,global,10,0.6991556688599837,0.6558499999999998
gpt-5.6-luna,ORIG,animate,10,0.8571823748114723,0.5869499999999999
gpt-5.6-luna,ORIG,plural,10,0.7280405072443883,0.6153599999999999
gpt-5.6-luna,ORIG,name,10,0.7933643118835051,0.55256
gpt-5.6-sol,ORIG,all,10,0.8303639126509857,0.53384
gpt-5.6-sol,ORIG,global,10,0.5744055058163192,0.72463
gpt-5.6-sol,ORIG,animate,10,0.8397368677237416,0.6358499999999999
gpt-5.6-sol,ORIG,plural,10,0.6045171484979771,0.83536
gpt-5.6-sol,ORIG,name,10,0.8604506307300679,0.45914
gpt-5.6-sol,T,all,10,0.8452457060320275,0.5288400000000001
gpt-5.6-sol,T,global,10,0.4765594455937243,0.79963
gpt-5.6-sol,T,animate,10,0.7776999073712095,0.7108499999999998
gpt-5.6-sol,T,plural,10,0.7044314910751289,0.74536
gpt-5.6-sol,T,name,10,0.7421781985111126,0.59414
moonshotai/kimi-k3,T,all,10,0.6516451577580148,0.6693955555555557
moonshotai/kimi-k3,T,global,10,0.5904563414970566,0.6996300000000001
moonshotai/kimi-k3,T,animate,10,0.8849202383656385,0.6986166666666667
moonshotai/kimi-k3,T,plural,10,0.7716691119984441,0.4859155555555555
moonshotai/kimi-k3,T,name,10,0.5935179941236598,0.6953377777777777
moonshotai/kimi-k3,ORIG,all,10,0.8050044298409214,0.5901799999999999
moonshotai/kimi-k3,ORIG,global,10,0.4544750214354496,0.9596300000000001
moonshotai/kimi-k3,ORIG,animate,10,0.8556589080565719,0.7519499999999999
moonshotai/kimi-k3,ORIG,plural,10,0.8713646518092945,0.31889999999999996
moonshotai/kimi-k3,ORIG,name,10,0.5045125830847041,0.7191400000000001
google/gemini-3.6-flash,T,all,10,0.6926815714562807,1.0238399999999999
google/gemini-3.6-flash,T,global,10,0.6457770576716143,0.6596300000000002
google/gemini-3.6-flash,T,animate,10,0.8381600698058416,0.9069499999999998
google/gemini-3.6-flash,T,plural,10,0.7190637882412442,0.70536
