model_id,mode,sample_id,human_std,human_range,model_std,model_range,model_mean,human_mean,n_model_samples,corr_human_model_std,collapse_rate_on_high_disagreement,n_high
gpt-5.6-luna,T,s4_all,2.0778131995700897,6.0,0.47016234598162726,1.0,5.7,4.125,20,,,
gpt-5.6-luna,T,s5_name,1.9942224241350504,6.0,0.47016234598162726,1.0,4.3,3.65,20,,,
gpt-5.6-luna,T,s9_name,1.910665074166853,6.0,0.4442616583193193,1.0,5.75,5.125,20,,,
gpt-5.6-luna,T,s6_animate,1.9333443854679675,6.0,0.36634754853252327,1.0,4.15,3.825,20,,,
gpt-5.6-luna,T,s9_plural,1.8255662978079725,6.0,0.0,0.0,6.0,4.525,20,,,
gpt-5.6-luna,T,s7_plural,1.825039514851454,6.0,0.6069769786668839,2.0,4.5,3.95,20,,,
gpt-5.6-luna,T,s3_all,1.992131959381643,6.0,0.3244428422615251,2.0,5.0,3.325,20,,,
gpt-5.6-luna,T,s3_plural,1.98193056903813,6.0,0.41039134083406165,1.0,5.2,3.8536585365853657,20,,,
gpt-5.6-luna,T,s5_plural,1.928863090142175,6.0,0.5871429486123998,2.0,3.85,3.35,20,,,
gpt-5.6-luna,T,s5_animate,1.928863090142175,6.0,0.5871429486123998,2.0,6.15,4.65,20,,,
gpt-5.6-luna,T,s7_global,1.9662211577097937,6.0,0.47016234598162726,1.0,5.3,4.075,20,,,
gpt-5.6-luna,T,s10_name,1.8912755158683456,6.0,0.6863327411532597,2.0,4.45,4.75,20,,,
gpt-5.6-luna,T,s1_global,1.8088103471052104,6.0,0.4893604849295929,1.0,5.35,5.1,20,,,
gpt-5.6-luna,T,s3_name,1.9942224241350504,6.0,0.4893604849295929,1.0,3.65,3.35,20,,,
gpt-5.6-luna,T,s3_global,2.040613281369737,6.0,0.30779350562554625,1.0,5.1,3.3,20,,,
gpt-5.6-luna,T,__SUMMARY__,,,,,,,,-0.008580072683289683,1.0,15
gpt-5.6-luna,ORIG,s4_all,2.0778131995700897,6.0,0.4893604849295929,1.0,5.35,4.125,20,,,
gpt-5.6-luna,ORIG,s5_name,1.9942224241350504,6.0,0.5104177855340405,1.0,2.55,3.65,20,,,
gpt-5.6-luna,ORIG,s9_name,1.910665074166853,6.0,0.5231483637805969,2.0,4.8,5.125,20,,,
gpt-5.6-luna,ORIG,s6_animate,1.9333443854679675,6.0,0.0,0.0,4.0,3.825,20,,,
gpt-5.6-luna,ORIG,s9_plural,1.8255662978079725,6.0,0.0,0.0,6.0,4.525,20,,,
gpt-5.6-luna,ORIG,s7_plural,1.825039514851454,6.0,0.41039134083406165,1.0,4.8,3.95,20,,,
gpt-5.6-luna,ORIG,s3_all,1.992131959381643,6.0,0.22360679774997896,1.0,5.05,3.325,20,,,
gpt-5.6-luna,ORIG,s3_plural,1.98193056903813,6.0,0.30779350562554625,1.0,5.1,3.8536585365853657,20,,,
gpt-5.6-luna,ORIG,s5_plural,1.928863090142175,6.0,0.5104177855340405,1.0,3.45,3.35,20,,,
gpt-5.6-luna,ORIG,s5_animate,1.928863090142175,6.0,0.41039134083406165,1.0,6.2,4.65,20,,,
gpt-5.6-luna,ORIG,s7_global,1.9662211577097937,6.0,0.36634754853252327,1.0,5.15,4.075,20,,,
gpt-5.6-luna,ORIG,s10_name,1.8912755158683456,6.0,0.0,0.0,6.0,4.75,20,,,
gpt-5.6-luna,ORIG,s1_global,1.8088103471052104,6.0,0.0,0.0,5.0,5.1,20,,,
gpt-5.6-luna,ORIG,s3_name,1.9942224241350504,6.0,0.47016234598162726,1.0,3.3,3.35,20,,,
gpt-5.6-luna,ORIG,s3_global,2.040613281369737,6.0,0.22360679774997896,1.0,5.05,3.3,20,,,
gpt-5.6-luna,ORIG,__SUMMARY__,,,,,,,,0.45604764802278586,1.0,15
gpt-5.6-sol,ORIG,s4_all,2.0778131995700897,6.0,0.0,0.0,5.0,4.125,10,,,
gpt-5.6-sol,ORIG,s5_name,1.9942224241350504,6.0,0.4216370213557839,1.0,3.8,3.65,10,,,
gpt-5.6-sol,ORIG,s9_name,1.910665074166853,6.0,0.48304589153964794,1.0,4.3,5.125,10,,,
gpt-5.6-sol,ORIG,s6_animate,1.9333443854679675,6.0,0.5163977794943222,1.0,4.4,3.825,10,,,
gpt-5.6-sol,ORIG,s9_plural,1.8255662978079725,6.0,0.0,0.0,6.0,4.525,10,,,
gpt-5.6-sol,ORIG,s7_plural,1.825039514851454,6.0,0.48304589153964794,1.0,4.7,3.95,10,,,
gpt-5.6-sol,ORIG,s3_all,1.992131959381643,6.0,0.31622776601683794,1.0,5.1,3.325,10,,,
gpt-5.6-sol,ORIG,s3_plural,1.98193056903813,6.0,0.0,0.0,6.0,3.8536585365853657,10,,,
gpt-5.6-sol,ORIG,s5_plural,1.928863090142175,6.0,0.31622776601683794,1.0,3.1,3.35,10,,,
gpt-5.6-sol,ORIG,s5_animate,1.928863090142175,6.0,0.0,0.0,6.0,4.65,10,,,
gpt-5.6-sol,ORIG,s7_global,1.9662211577097937,6.0,0.0,0.0,5.0,4.075,10,,,
gpt-5.6-sol,ORIG,s10_name,1.8912755158683456,6.0,0.4216370213557839,1.0,4.2,4.75,10,,,
gpt-5.6-sol,ORIG,s1_global,1.8088103471052104,6.0,0.5163977794943222,1.0,5.6,5.1,10,,,
gpt-5.6-sol,ORIG,s3_name,1.9942224241350504,6.0,0.0,0.0,4.0,3.35,10,,,
gpt-5.6-sol,ORIG,s3_global,2.040613281369737,6.0,0.0,0.0,6.0,3.3,10,,,
gpt-5.6-sol,ORIG,__SUMMARY__,,,,,,,,-0.4905179353304969,1.0,15
gpt-5.6-sol,T,s4_all,2.0778131995700897,6.0,0.0,0.0,5.0,4.125,10,,,
gpt-5.6-sol,T,s5_name,1.9942224241350504,6.0,0.48304589153964794,1.0,4.3,3.65,10,,,
gpt-5.6-sol,T,s9_name,1.910665074166853,6.0,0.48304589153964794,1.0,5.3,5.125,10,,,
gpt-5.6-sol,T,s6_animate,1.9333443854679675,6.0,0.0,0.0,4.0,3.825,10,,,
gpt-5.6-sol,T,s9_plural,1.8255662978079725,6.0,0.31622776601683794,1.0,5.9,4.525,10,,,
gpt-5.6-sol,T,s7_plural,1.825039514851454,6.0,0.4216370213557839,1.0,4.8,3.95,10,,,
gpt-5.6-sol,T,s3_all,1.992131959381643,6.0,0.31622776601683794,1.0,5.1,3.325,10,,,
gpt-5.6-sol,T,s3_plural,1.98193056903813,6.0,0.48304589153964794,1.0,5.7,3.8536585365853657,10,,,
gpt-5.6-sol,T,s5_plural,1.928863090142175,6.0,0.4216370213557839,1.0,3.2,3.35,10,,,
gpt-5.6-sol,T,s5_animate,1.928863090142175,6.0,0.48304589153964794,1.0,6.7,4.65,10,,,
gpt-5.6-sol,T,s7_global,1.9662211577097937,6.0,0.31622776601683794,1.0,5.1,4.075,10,,,
gpt-5.6-sol,T,s10_name,1.8912755158683456,6.0,0.0,0.0,4.0,4.75,10,,,
gpt-5.6-sol,T,s1_global,1.8088103471052104,6.0,0.0,0.0,5.0,5.1,10,,,
gpt-5.6-sol,T,s3_name,1.9942224241350504,6.0,0.48304589153964794,1.0,4.3,3.35,10,,,
gpt-5.6-sol,T,s3_global,2.040613281369737,6.0,0.0,0.0,6.0,3.3,10,,,
gpt-5.6-sol,T,__SUMMARY__,,,,,,,,-0.04805104229862172,1.0,15
moonshotai/kimi-k3,T,s4_all,2.0778131995700897,6.0,0.33333333333333337,1.0,4.888888888888889,4.125,9,,,
moonshotai/kimi-k3,T,s5_name,1.9942224241350504,6.0,0.44095855184409843,1.0,5.222222222222222,3.65,9,,,
moonshotai/kimi-k3,T,s9_name,1.910665074166853,6.0,0.5,1.0,4.666666666666667,5.125,9,,,
moonshotai/kimi-k3,T,s6_animate,1.9333443854679675,6.0,0.7071067811865476,2.0,3.3333333333333335,3.825,9,,,
moonshotai/kimi-k3,T,s9_plural,1.8255662978079725,6.0,0.44095855184409843,1.0,4.777777777777778,4.525,9,,,
moonshotai/kimi-k3,T,s7_plural,1.825039514851454,6.0,0.7071067811865476,2.0,4.666666666666667,3.95,9,,,
moonshotai/kimi-k3,T,s3_all,1.992131959381643,6.0,0.44095855184409843,1.0,5.777777777777778,3.325,9,,,
moonshotai/kimi-k3,T,s3_plural,1.98193056903813,6.0,0.5270462766947299,1.0,5.444444444444445,3.8536585365853657,9,,,
