model_id,mode,baseline_model,baseline_mode,condition,n,pearson_r,baseline_pearson_r,delta_r,mae,baseline_mae,delta_mae
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,all,10,0.5731295142673729,0.563397369606306,0.009732144661066866,0.7101800000000001,1.19018,-0.47999999999999987
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,global,10,0.4927135401342415,0.4883793236665491,0.004334216467692387,0.66463,1.1258499999999998,-0.46121999999999974
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,animate,10,0.672393070733141,0.7763664849260961,-0.10397341419295503,0.6869500000000001,1.2019499999999999,-0.5149999999999998
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,plural,10,0.5355351999258864,0.7978343008316275,-0.26229910090574116,0.7303600000000001,0.95536,-0.22499999999999987
deepseek/deepseek-v4-flash,ORIG,google/gemma-3-12b-it,ORIG,name,10,0.5674104236300925,0.5471117754769766,0.020298648153115884,0.7075600000000002,1.45914,-0.7515799999999999
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,all,10,0.2882628030229433,0.563397369606306,-0.2751345665833627,0.9688400000000001,1.19018,-0.22133999999999987
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,global,10,-0.04190790600659151,0.4883793236665491,-0.5302872296731407,1.1546300000000003,1.1258499999999998,0.028780000000000472
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,animate,10,0.7983244272293012,0.7763664849260961,0.021957942303205136,0.9519500000000001,1.2019499999999999,-0.24999999999999978
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,plural,10,0.27653857857450814,0.7978343008316275,-0.5212957222571194,1.01036,0.95536,0.05499999999999994
google/gemma-4-31b-it,ORIG,google/gemma-3-12b-it,ORIG,name,10,0.7759364093416133,0.5471117754769766,0.2288246338646367,0.56914,1.45914,-0.8900000000000001
z-ai/glm-5.2,ORIG,google/gemma-3-12b-it,ORIG,all,10,0.5498599362585348,0.563397369606306,-0.013537433347771244,1.06384,1.19018,-0.12634000000000012
z-ai/glm-5.2,ORIG,google/gemma-3-12b-it,ORIG,global,10,0.6630309410524051,0.4883793236665491,0.174651617385856,0.72963,1.1258499999999998,-0.3962199999999998
z-ai/glm-5.2,ORIG,google/gemma-3-12b-it,ORIG,animate,10,0.8079239568891443,0.7763664849260961,0.031557471963048256,0.7919499999999999,1.2019499999999999,-0.4099999999999999
z-ai/glm-5.2,ORIG,google/gemma-3-12b-it,ORIG,plural,10,0.4187635575494713,0.7978343008316275,-0.37907074328215623,1.10536,0.95536,0.1499999999999999
z-ai/glm-5.2,ORIG,google/gemma-3-12b-it,ORIG,name,10,0.8246258798601003,0.5471117754769766,0.2775141043831236,0.63744,1.45914,-0.8217000000000001
moonshotai/kimi-k3,ORIG,google/gemma-3-12b-it,ORIG,all,10,0.8050044298409214,0.563397369606306,0.2416070602346153,0.5901799999999999,1.19018,-0.6000000000000001
moonshotai/kimi-k3,ORIG,google/gemma-3-12b-it,ORIG,global,10,0.4544750214354496,0.4883793236665491,-0.033904302231099526,0.9596300000000001,1.1258499999999998,-0.1662199999999997
moonshotai/kimi-k3,ORIG,google/gemma-3-12b-it,ORIG,animate,10,0.8556589080565719,0.7763664849260961,0.0792924231304758,0.7519499999999999,1.2019499999999999,-0.44999999999999996
moonshotai/kimi-k3,ORIG,google/gemma-3-12b-it,ORIG,plural,10,0.8713646518092945,0.7978343008316275,0.07353035097766691,0.31889999999999996,0.95536,-0.63646
moonshotai/kimi-k3,ORIG,google/gemma-3-12b-it,ORIG,name,10,0.5045125830847041,0.5471117754769766,-0.0425991923922725,0.7191400000000001,1.45914,-0.74
